ID,Text,Comment
GerkinDev.WatertightGates.Building.WatertightGate.Flat.DisplayName,Watertight gate,
GerkinDev.WatertightGates.Building.WatertightGate.Flat.Description,"Let people pass through, not the poo. Except if you want it too.",
GerkinDev.WatertightGates.Building.WatertightGate.Flat.FlavorDescription,Is this water leaking through?,
GerkinDev.WatertightGates.Building.WatertightGate.Stairs.DisplayName,Watertight staired gate,
GerkinDev.WatertightGates.Building.WatertightGate.Stairs.Description,"Let people pass through, not the poo. Except if you want it too. Now with ?% extra slope!",
GerkinDev.WatertightGates.Building.WatertightGate.Stairs.FlavorDescription,Please mind the gate between the stairs and the water.,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Active.Label,Active,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Active.Tooltip,Active,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Inactive.Label,Inactive,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Inactive.Tooltip,Inactive,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Automated.Label,Automated,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Automated.Tooltip,Automated,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.ActiveState,When active,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.InactiveState,When inactive,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Open.Label,Open,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Open.Tooltip,Open,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Close.Label,Close,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Close.Tooltip,Close,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Pass.Label,Pass,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Pass.Tooltip,Open on demand,
