ID,Text,Comment
GerkinDev.WatertightGates.Building.WatertightGate.Flat.DisplayName,Porte étanche,
GerkinDev.WatertightGates.Building.WatertightGate.Flat.Description,"Contrôle le passage de l'eau et des castors.",
GerkinDev.WatertightGates.Building.WatertightGate.Flat.FlavorDescription,Pensez à fermer derrière vous,
GerkinDev.WatertightGates.Building.WatertightGate.Stairs.DisplayName,Porte étanche avec escaliers,
GerkinDev.WatertightGates.Building.WatertightGate.Stairs.Description,"Contrôle le passage de l'eau et des castors. Et en plus, ça monte",
GerkinDev.WatertightGates.Building.WatertightGate.Stairs.FlavorDescription,"Pour éviter toute glissage, essuyez vous les pieds avant de monter.",
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Active.Label,Actif,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Active.Tooltip,Actif,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Inactive.Label,Inactif,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Inactive.Tooltip,Inactif,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Automated.Label,Automatique,
GerkinDev.WatertightGates.UI.WatertightGate.ActivationMode.Automated.Tooltip,Automatique,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.ActiveState,Si actif,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.InactiveState,Si inactif,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Open.Label,Ouvert,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Open.Tooltip,Ouvert,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Close.Label,Fermé,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Close.Tooltip,Fermé,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Pass.Label,Laisse passer,
GerkinDev.WatertightGates.UI.WatertightGate.GateMode.Pass.Tooltip,S'ouvre à la demande,
